epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,3.416260614868742,0.39392914160654857,1.511165738020594,3.2321333093019673,0.2707680427216768,1.480682627436688,0.5814576663624742,0.5814576663624742,0.3558413719185423,0.11462425895206044,0.3480409626572673
2,3.2617965543555463,0.25997596011816837,1.5009102939750179,3.1885173916177862,0.2541505003234198,1.4671834486218256,0.5814576663624742,0.5814576663624742,0.3558413719185423,0.11462425895206044,0.3480409626572673
3,3.2353553369923462,0.24707005386183883,1.494142640910433,3.1554677453199513,0.2432613824948365,1.4561031819156511,0.5814576663624742,0.5814576663624742,0.3558413719185423,0.11462425895206044,0.3480409626572673
4,3.177968264307538,0.23967924590577563,1.4691445119213147,3.086639631982785,0.24635657902890845,1.420141525334995,0.5814576663624742,0.5814576663624742,0.3740621650589496,0.15653469572443385,0.368996181043454
5,3.03789529037203,0.2287352539654841,1.4045800197631302,2.869341090561109,0.2289638944521211,1.3201886038560449,0.5814576663624742,0.5814576663624742,0.4340836013500586,0.14648183649337795,0.3639697514279261
6,2.917606284764035,0.2187584642535152,1.349423912134542,2.898359647517802,0.21702199646482387,1.3406688252190428,0.5814576663624742,0.5814576663624742,0.4394426581560607,0.14265138146214182,0.362054523912308
7,2.8227343406793093,0.21285172041589423,1.3049413128468172,2.7693324472359904,0.20740609462717338,1.2809631763163871,0.5651470480342375,0.5572840689082913,0.48445873539036366,0.1582260063059863,0.3616865271701119
8,2.7733880743549397,0.20882727586401068,1.2822803973981252,2.6864198938187807,0.20728079709528854,1.2395695499029702,0.5718683786888433,0.5590335039414485,0.47909967848853413,0.15455706529553812,0.36321272199219073
9,2.74312737423337,0.208964767446259,1.2670812998426177,2.643067812868509,0.20371232775118828,1.2196777487235566,0.5706927960198427,0.5634140953662073,0.5037513398280864,0.17156282621160934,0.371127811115726
10,2.6950147859792106,0.2035787878355072,1.2457179983584699,2.6313828338508567,0.20377788508245032,1.2138024710382296,0.5711974888483641,0.5600151467533969,0.5198285102460929,0.18207273093895268,0.3766351098936584
11,2.6385439637304415,0.19948318521330807,1.2195303891973437,2.545494105399358,0.19818995855069876,1.173652069042222,0.5805871215605553,0.5679759359098537,0.5348338693028989,0.1756546868089496,0.3781209041847524
12,2.623095704981922,0.19839317231529224,1.212351265997919,2.563441389115549,0.21383584237239242,1.1748027710797064,0.5812339589519192,0.5753182318169775,0.5241157556908946,0.1681362510614147,0.37468510500666696
13,2.579779616037664,0.19433273488962466,1.1927234412048833,2.6185306103666495,0.19601540858802433,1.211257603518577,0.5789159935144951,0.5673201068965802,0.5133976420788903,0.1851402805076383,0.3820281370110667
14,2.5666878297525715,0.19236675202953002,1.1871605372164837,2.6226832161379012,0.205677866382726,1.2085026765176337,0.5795390117995552,0.5657150793814846,0.5198285102460929,0.2051368200404248,0.39233791591999
15,2.5229832459109387,0.19233611613650456,1.1653235644772888,2.4931645417647856,0.19786344140784023,1.1476505496494256,0.5771515935804985,0.5703829648482102,0.547695605637304,0.20239928910762933,0.38977544134406394
16,2.4830011700084698,0.19004760065560852,1.1464767838725451,2.48963838400437,0.19840619856010552,1.1456160948463063,0.5765593641525644,0.5685606151676698,0.5605573419078242,0.21491744740945148,0.39573840578100794
17,2.4877702296312556,0.19031091790916493,1.1487296578201833,2.469399033379836,0.1891026050151832,1.1401482079445613,0.5839790129302904,0.56887197249004,0.570203644222513,0.22029937157759164,0.402139192253941
18,2.448697510596981,0.18632316145887542,1.1311871768236585,2.4448132532841393,0.19143589242238707,1.126688683659062,0.5787312640031849,0.5649227285572921,0.5894962487241208,0.23422559663654538,0.40647843031986514
19,2.431924262614112,0.18564758874361495,1.1231383364215073,2.3991297830978264,0.19001006324638764,1.1045598534653551,0.580680472457851,0.5657421100579064,0.5809217577706324,0.2241408582024472,0.40241066533014913
20,2.40712224751466,0.18557278954075593,1.1107747277944333,2.3874913505163735,0.18914769837455095,1.0991718226690383,0.5738728230027818,0.5605307016571327,0.5873526260656048,0.2255690996515592,0.3997209613271705
21,2.3661074657106282,0.18109217912315384,1.0925076429057692,2.372204410557067,0.18299163239114666,1.0946063883243267,0.5860224688020961,0.5711310766410306,0.5916398714465216,0.22993661292394174,0.4079795408630189
22,2.3203708651066677,0.18194494941865771,1.0692129583178183,2.3296547799759484,0.1842160173487178,1.0727193841724663,0.57912884494653,0.5652675865890223,0.585209003279319,0.23001853151855267,0.40457368823254136
23,2.305797142146016,0.18040921503399132,1.062693960541442,2.3653724432502656,0.18534141729335277,1.0900155138483896,0.5857950061593232,0.5741144742938084,0.5884244374268053,0.23558658211053257,0.41069079413492793
24,2.281728391265733,0.1781777216679882,1.0517753344767857,2.346832049812918,0.18514650892805695,1.080842765229819,0.5866281022357982,0.5696283270902719,0.5766345123258306,0.22743484982236004,0.40703147602907913
25,2.256610925643092,0.1778649226783982,1.0393730042533562,2.3309940236429947,0.18312775209498175,1.0739331393635414,0.5788071824952392,0.5669744479131665,0.5894962487880057,0.23952296497193315,0.4091650737335862
26,2.232850506779295,0.1765971094417802,1.0281267000249812,2.307173521444601,0.1835003768903426,1.0618365724817604,0.5728818784249,0.5608895319966393,0.6109324758842444,0.23872903393485512,0.40580545617987757
27,2.207351137672675,0.17468615510328278,1.0163324927167834,2.27411766035636,0.17880474770289925,1.0476564603028191,0.5735670374571051,0.5573999833026552,0.6034297963558414,0.23381924888141126,0.4036931431692582
