epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,3.3931632088780104,0.3677581433218775,1.5127025351604422,3.2305509116488635,0.26359755610538066,1.4834766684365555,0.5814576663624742,0.5814576663624742,0.3558413719185423,0.11462425895206044,0.3480409626572673
2,3.244366646920327,0.24800589183433944,1.4981803770106195,3.1969820571482375,0.24737216834086698,1.474804944802966,0.5814576663624742,0.5814576663624742,0.3558413719185423,0.11462425895206044,0.3480409626572673
3,3.1782442582168935,0.24019237641523292,1.4690259410552189,3.113310261171347,0.23673890428048622,1.4382856845344634,0.5814576663624742,0.5814576663624742,0.29474812434608916,0.1308602264023561,0.35615894638241513
4,3.0799319561825094,0.23159404556297242,1.4241689572209928,3.0843005499783565,0.22684587619695631,1.428727330118897,0.5792829921449046,0.5791684552518865,0.3954983924107281,0.09653214512308043,0.3379075686339925
5,2.962357019858515,0.2207935238553184,1.3707817498169954,2.8484032989698207,0.2169587422254129,1.3157222775656565,0.5687446784948318,0.5676839794611949,0.40192926057793066,0.1429262061170168,0.3558354423059243
6,2.8955700656438395,0.21320683216571637,1.3411816177133067,2.9422515789156685,0.22189591977533676,1.3601778317622177,0.5562728297598788,0.5511894956297566,0.3987138264304444,0.12155183833735293,0.33891233404861587
7,2.873267535781724,0.21194748534538482,1.330660024554698,2.7563077848951663,0.2118064776174764,1.272250648735676,0.5552213857910202,0.5521351683430207,0.4126473740941075,0.1528223080119064,0.3540218469014633
8,2.8387722502269246,0.20978785644006884,1.3144921983042204,2.7344199650285073,0.20896130825002604,1.2627293229230858,0.5593993742268932,0.5539688489383325,0.4501607718319499,0.130864846882471,0.3451321105546821
9,2.780703799219462,0.2017565187533952,1.289473640616343,2.724848519567508,0.20543061087401096,1.259708948457356,0.5702912377730776,0.5586635789956914,0.4715969989920736,0.15661322008882225,0.3634522289309499
10,2.743454514336867,0.20319121874797,1.2701316524633726,2.66638336023206,0.20054212208569752,1.232920622391205,0.5668491373285017,0.5576898381693168,0.4823151125721354,0.1722533005044673,0.3695512189164845
11,2.690396975602112,0.19972337785577213,1.2453368018464814,2.6686185860301648,0.2083111349792726,1.2301537290391176,0.5583134754775705,0.5467949175752208,0.5166130761305491,0.20076044939669466,0.3795369624371326
12,2.6515694240367,0.19922991280642607,1.2261697543054957,2.5767386248385153,0.1977004151539787,1.1895191025503962,0.5793097806219211,0.5691100110761234,0.5241157556270096,0.1996485070456371,0.3894791438337791
13,2.5915885900079716,0.19548077988077292,1.1980539043275915,2.5246557154456135,0.20305251223129986,1.1608016029687045,0.5760742703760131,0.5613774466065151,0.5316184352831825,0.1997300446853671,0.38790215753069013
14,2.5269943062174782,0.19704550859512027,1.1649744006811444,2.4565213946795286,0.19694996622789326,1.1297857146809978,0.5753054637896307,0.5620380870190548,0.5766345123258306,0.2310771416082382,0.40319130269893444
