epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,3.390775324404772,0.36466055226330246,1.5130573883359881,3.25803562886973,0.2555612566594398,1.5012371851828066,0.5814576663624742,0.5814576663624742,0.274383708483281,0.09931247621309865,0.34038507128778644
2,3.25718211718822,0.24357952955323656,1.506801292912455,3.226610566769893,0.27235151317852996,1.4771295264602857,0.5814482125669762,0.5813260809824752,0.3558413719185423,0.11462425895206044,0.3480362357595183
3,3.20257352607171,0.23730594333408986,1.4826337881878726,3.1252382752213066,0.24101457431002063,1.4421118491460017,0.5713274401320635,0.5672840357355858,0.4030010718273324,0.1921012177094067,0.3817143289207351
4,3.151879769898006,0.23413798098810742,1.4588708967002386,3.1178459679071033,0.2403101586643906,1.4387679016986206,0.5814576663624742,0.5814576663624742,0.3751339764361213,0.18700801791480545,0.38423284213863984
5,3.1314856345928663,0.2312758623936126,1.4501048874625055,3.0660346711946835,0.22688493950318422,1.4195748648076196,0.5783219691579835,0.5754496848952618,0.42979635585734316,0.20487941976878413,0.3916006944633838
6,3.0868029447911933,0.2250645338807544,1.4308692063549324,3.1310534589671373,0.22505597753444284,1.4529987329583203,0.5747574083818466,0.5720707956246304,0.41907824224533885,0.20037077441521015,0.3875640913985284
7,3.0528865409093315,0.21956754229076422,1.4166595007786371,2.9889830735463168,0.21969099055340818,1.3846460424946563,0.5641948808380407,0.5579286273996628,0.4501607717201513,0.2207811374108418,0.39248800912444126
8,2.9347302543133145,0.220234369648146,1.3572479410655331,3.1392714445741743,0.2382305535025663,1.450520446573934,0.5483817003547476,0.536989120623868,0.41907824224533885,0.2091420236974627,0.3787618620261052
9,2.8573369111023275,0.2177511516501964,1.319792875863689,2.6665337028227434,0.2240320650774822,1.22125081809004,0.5724744773196685,0.5667157893974786,0.5284030011995813,0.2086911664965654,0.39058282190811694
10,2.628356782143863,0.209760626987629,1.2092980763536558,2.5794675049930014,0.20917883244645558,1.1851443367244603,0.5699659712049284,0.562296393370701,0.5444801715537028,0.227204201566988,0.39858508638595824
11,2.5763107309515196,0.20778298712321885,1.184263872776597,2.6391510150823563,0.21015332045087476,1.2144988521630102,0.5695557610168077,0.5606049842893269,0.5091103966340885,0.19337439351909763,0.38146507726795265
12,2.5169828460232706,0.20278408129477596,1.1570993825000029,2.5638347723604142,0.20720679258642216,1.1783139875591888,0.5743863642910336,0.56563169822886,0.547695605637304,0.22001511324035183,0.39720073876569273
13,2.448642427387217,0.19999263780847026,1.1243248940706678,2.4785340144064394,0.20188877361827598,1.138322623787969,0.5747791558983822,0.5652187594042231,0.5712754555837134,0.22918224191011097,0.4019806989042466
14,2.444222393185805,0.19901849891792114,1.1226019445978432,2.511922549268696,0.2076115146007824,1.1521555162958266,0.5806133374032557,0.5672383287068868,0.5680600214362272,0.230070046967502,0.40534169218537885
15,2.397531004878784,0.19432491048100423,1.1016030454260828,2.5089098761958195,0.19837681517116765,1.1552665290469653,0.5809240811529949,0.5691233742625862,0.5723472670087988,0.24745222499746455,0.4141881530752297
16,2.352685328167053,0.19348128138375564,1.079602023093519,2.3544602937125956,0.19559594403477215,1.0794321719600968,0.5836119569977067,0.5718089466200342,0.5991425509110396,0.2343340400790502,0.4089729985383785
17,2.3207136448386225,0.19018916897515648,1.065262238248496,2.473274122608181,0.20038804655249798,1.1364430376634975,0.5868398998328247,0.5772035182706524,0.5551982851018221,0.2213682402138667,0.4041040700233457
18,2.2804702910920387,0.1891916361599149,1.0456393262069963,2.2845362553259183,0.19094104667983766,1.0467976001106274,0.5829572306584679,0.5697164790746879,0.6045016077809268,0.25402300632299196,0.4184901184907299
19,2.252554077129357,0.1871554950500395,1.0326992921975733,2.301865878531915,0.1980248852198722,1.0519205020682731,0.5870852304314667,0.5763973136323246,0.6120042872454448,0.25514297084651233,0.42111410063898946
20,2.2309358094410627,0.18561258774733877,1.0226616103890198,2.288328807453634,0.19613802155114446,1.0460953930790147,0.5833008924965007,0.575874643570025,0.6195069667738478,0.24513073613856734,0.41421581431753407
21,2.192600153905658,0.18285673163051305,1.0048717111295868,2.2923020052884295,0.18724567229117867,1.052528168738591,0.5809389381205826,0.5681171440677637,0.6130760986705301,0.25387218215528384,0.41740556013793323
22,2.1541040758015044,0.17952760389369485,0.9872882357236529,2.301622954212201,0.18393502114510357,1.05884396244092,0.5769214161984229,0.5638737183868882,0.6109324759481293,0.26639028839356543,0.4216558522959941
23,2.135782485265483,0.17819755602655943,0.9787924631487773,2.1734636118685446,0.18348311172900092,0.9949902472708131,0.5801831696405182,0.5642450922210185,0.6162915326902465,0.249049475996482,0.4146163228185001
24,2.0860754666732184,0.17368463100749026,0.9561954179207058,2.1593138995597343,0.18064049843774604,0.9893367012597357,0.5833920323008575,0.5703903169107799,0.6355841371918542,0.24667443513880769,0.4150332337198326
