Epoch,Train Loss,Val Loss,Val IoU All,Val Dice All,Val F1 All,Val IoU Damage,Val Dice Damage,Val F1 Damage
1,0.0787987779699532,0.07905757088190228,0.07431553761511361,0.106088104020344,0.10608810294718032,0.08035722027611845,0.11263775481711702,0.11263775370979037
2,0.06732683097677572,0.06821382971235194,0.12686616895503044,0.16183138561390184,0.16183138429211746,0.13930141475228972,0.1734677820395876,0.17346778076597102
3,0.05554068775338237,0.07074498900908346,0.08509276206861108,0.11547446667897568,0.11547446561784133,0.08767827205041115,0.11635056576717054,0.11635056476397349
4,0.05801772726566664,0.059717936849379136,0.1604875841592162,0.1971165133518445,0.19711651189491675,0.1787890474810127,0.21339460654673242,0.21339460510765623
5,0.04535900452148261,0.05879291748576668,0.1801687022563056,0.21637450194937458,0.21637450032280622,0.1984294154041868,0.23073384035264258,0.23073383883674609
6,0.040708675986606976,0.05829369656096474,0.17260280366582278,0.20846252277921767,0.20846252120087283,0.18867177902042223,0.22000248924880517,0.22000248781863113
7,0.0370440049816846,0.062467203730364816,0.1847934090934314,0.22048049999708091,0.22048049835569755,0.20256074807602578,0.23338585988758143,0.23338585837061354
8,0.03368553382650134,0.07105897726753839,0.19120348081030347,0.22935726258990666,0.22935726090418881,0.20985152043101946,0.2423893842834123,0.24238938270961646
9,0.031704176761908155,0.05569508662873608,0.1846345801838424,0.22315827735422572,0.22315827574971858,0.20413427739031428,0.23941989453112733,0.23941989294795846
10,0.029718734548987415,0.06642118125337045,0.19976970703435976,0.24012747263660272,0.24012747088158837,0.2198448604390299,0.25522400041629517,0.2552239987439464
11,0.02627296088471277,0.07012538596508103,0.1922187137612777,0.23206390817557043,0.23206390645950897,0.2119123892212959,0.24655475177341396,0.24655475015624956
12,0.026427887763983172,0.06466037705423494,0.20531497055888118,0.24692115615041374,0.24692115432268938,0.22427498294390263,0.2600133664404013,0.2600133647377479
13,0.02102259442241575,0.06807815489354588,0.22449856006720187,0.26588846151260037,0.26588845963744123,0.2452638063116895,0.27925037319758605,0.2792503714393876
14,0.020317946975763203,0.08173565201112194,0.21959361312838807,0.2601972397484123,0.26019723790908555,0.2372802342954934,0.26986335622244173,0.2698633545138958
15,0.01847322149074736,0.07249129880677133,0.21499589401806482,0.2580475026838244,0.25804750082010297,0.2350200001444594,0.27191241096082797,0.27191240917567683
16,0.017284553285045783,0.07398994667686452,0.22154021521551642,0.2649970839371922,0.26499708204460826,0.24022534403390108,0.2763428999123389,0.27634289813357765
17,0.017105232696863024,0.09406212789600885,0.22870077618581125,0.2717580468967056,0.27175804495606826,0.24857479774893892,0.2836936878280804,0.2836936860060585
18,0.014244711041082657,0.09904249423800812,0.19396825345622404,0.23903972427839099,0.2390397224831348,0.20983017978897728,0.24896821156185256,0.2489682098619283
19,0.015868375604052208,0.09411926931227713,0.2232108059110698,0.2672024713127163,0.26720246937973025,0.24274632980830874,0.2790462326994806,0.2790462308974367
20,0.01379715202983519,0.09782274947599563,0.22417274665392753,0.26758093757950097,0.2675809356715078,0.24118106673719097,0.2755694302707714,0.27556942851867827
