Class,IoU,Dice,F1
Background,0.15005549461846054,0.23132673770687348,0.23132673524574557
No Damage,0.6101746359895039,0.6547511440056678,0.6547511403376212
Minor Damage,0.06856291249170328,0.09759976813603607,0.09759976716419656
Major Damage,0.16715802688012849,0.19847717380250607,0.19847717230653839
Destroyed,0.2528409548271841,0.29091584990410974,0.2909158479803806
