epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,3.992490705314301,0.35444237235115017,1.819024163341897,3.790225161872365,0.254120372068077,1.7680524061219358,0.5814576663624742,0.5814576663624742,0.3558413719185423,0.11462425895206044,0.3480409626572673
2,3.837466556798479,0.24507267718316827,1.7961969401164326,3.779944821824854,0.24339247628295793,1.7682761785685057,0.5814576663624742,0.5814576663624742,0.3558413719185423,0.11576929480125715,0.3486134805818657
3,3.7931370053729148,0.23802358843186533,1.7775567100490148,3.7322489016820124,0.23844466579624823,1.7469021163697156,0.5814576663624742,0.5814576663624742,0.4062165059109337,0.2046694849034479,0.39306357563296107
4,3.717893762816783,0.23478828921578704,1.741552737407405,3.7129274181231042,0.23752574254494133,1.7377008418178252,0.5814576663624742,0.5814576663624742,0.3933547695605573,0.1927159481859621,0.3870868072742182
5,3.619476268955025,0.23606269309651898,1.6917067916532122,3.6654878649042093,0.26249497757559803,1.7014964463754227,0.5814576663624742,0.5814576663624742,0.3815648445873526,0.16320209674339803,0.3723298815529361
6,3.426731385346522,0.23364473452106804,1.5965433280865777,3.6410191925392272,0.23519010618249192,1.7029145418767122,0.580727035519677,0.5806913212609925,0.4362272240085745,0.13383329606610433,0.3572801657928907
7,3.0895154862030783,0.22323372996824475,1.4331408781254023,3.696562372730987,0.24569057337021394,1.7254359056456423,0.5437985861442246,0.534719072516081,0.46945337623773026,0.20024673776457955,0.3720226619544021
8,3.0247870551215277,0.2206289735744152,1.4020790407682326,2.923321600512293,0.21698459359195327,1.3531685059476894,0.5722557261460819,0.5697285572145229,0.5680600214362272,0.21335812327979367,0.39280692471293777
9,2.896652272446916,0.20961253963099416,1.3435198669563067,3.003548806822696,0.21220084862725655,1.3956739753325014,0.5743384249017793,0.5691732080633873,0.5584137191854234,0.20667281792214992,0.39050562141196465
10,2.826573908435485,0.20368003191459005,1.311446935119438,2.8972106506331303,0.20215553523611282,1.3475275612720723,0.5755524615648385,0.566216107483632,0.5766345123258306,0.21226270786339316,0.39390758471411585
11,2.781494212857567,0.20202345345947903,1.2897353798800513,2.924541255668812,0.2019907467682134,1.361275251910873,0.5782189678213837,0.5698648843891058,0.587352625937835,0.2210460668840113,0.3996325173526975
